feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,gesture_class
0.11434063032358828,0.17297821597554697,0.18724726645208778,0.19329138887361988,0.06629687300090645,0.05570339717260369,0.03597129950751774,0
0.11432136623900548,0.17177559986334778,0.18623942497450668,0.19241809639182186,0.06531906797732842,0.055108502831617806,0.035336189327219,0
0.11320946728072968,0.17039363103849578,0.18328360289117965,0.19102454757023432,0.0649275360763871,0.054554064983811844,0.03457315158629084,0
0.1098863348874936,0.16801983784306812,0.18427050090792851,0.19269921317242655,0.06493289985275365,0.05447940744219618,0.036193644893398,0
0.11558912020734899,0.17525543703020235,0.1919412821877409,0.19597855281503382,0.0663057708660255,0.0551712244311455,0.03735487474345424,0
0.11309387946302009,0.17768655560792518,0.1866285617684023,0.1805896402139598,0.07149110812774274,0.056627130394425435,0.03240605705247277,0
0.1158079397042089,0.1802421339931508,0.18370277465120405,0.16916975493722317,0.06859920710421286,0.0498785999773745,0.03291602828788461,0
0.12122828699741665,0.1666733467232588,0.16563244341936867,0.14038946165887223,0.04932341833980565,0.030718290820412067,0.029689233253861677,0
0.1381034045213316,0.15243947192636964,0.13463456639500165,0.09162129258691135,0.021981756903916752,0.025470382769202323,0.02824088084744837,0
0.115622011089273,0.14187457599378123,0.12410297036905985,0.10159530331334535,0.02965870192785995,0.018900679347549146,0.049048087005806366,0
0.11678009548838088,0.15012822834851003,0.1360835794744474,0.11378845952751247,0.040158050680247824,0.017952649213467915,0.053354898143257716,0
0.11426243014926052,0.15770340294920412,0.16158367977032728,0.16082359015461453,0.04880946036922473,0.03275570681905523,0.05689252041586749,0
0.11392139755988111,0.15992699061591178,0.16153668299018956,0.16207543547389333,0.05522118507856382,0.043072574805407465,0.057600038407197005,0
0.11866832407254284,0.16452278196548312,0.15940305758048018,0.15921773702446815,0.06122776582235797,0.055468156756567355,0.05354206065090425,0
0.12254849226624102,0.16559689749045525,0.15520298368837124,0.15785483413066229,0.0642343422322173,0.06440473522571653,0.05481066005807258,0
0.12286939604584439,0.1618199060302496,0.1543095847426147,0.15471389499142876,0.06060146948118955,0.061496860211343596,0.048701159922626476,0
0.12313657624279327,0.16132805647761647,0.15248300512120144,0.15814179027972047,0.06100877305432282,0.06258391150986078,0.05103903828249544,0
0.11250283411489098,0.15416420468124506,0.14751420753505493,0.15263679095980054,0.06043750166892792,0.05622084251432073,0.056159662221234925,0
0.10345104715636437,0.14908405258353064,0.1496854096124938,0.14293095650456575,0.057127495744213025,0.04688864887282473,0.048809292086320795,0
0.10164874271012755,0.14870350025526496,0.1456262845867984,0.13329972215964198,0.05506986583669196,0.04089263724851655,0.05053274251359024,0
0.10884021800517688,0.145831810496498,0.13565718363742885,0.11405315042138017,0.040352700234722025,0.010365467128909142,0.04439554240691659,0
0.13599708231709834,0.15264192135444618,0.1413181992238684,0.09956455151469425,0.01791383257003505,0.024854356218878357,0.022290374553590123,0
0.1042892771748397,0.16865838649324083,0.17845416562536356,0.15070139082768683,0.06853232192756721,0.05108767409261035,0.024961587219504186,0
0.10621753539008387,0.1710552126373036,0.18340700861961157,0.17505396048166863,0.07100756059026621,0.05589530880747698,0.03137159141698235,0
0.10960429817268556,0.1717724651691807,0.1871181507427197,0.18651523186373062,0.07004956571157848,0.05693162689956675,0.037056481696457644,0
0.10747111572425212,0.16695087124353888,0.1834195572190057,0.1999603238787275,0.06808791125947526,0.05863627097158455,0.04134983199062177,0
